"","name","longitude","latitude"
"161","Leptasthenura setaria",-51.899315,-26.396843
"162","Leptasthenura setaria",-51.556526,-27.004429
"163","Leptasthenura setaria",-49.726868,-24.267937
"164","Leptasthenura setaria",-51.526474,-28.962032
"165","Leptasthenura setaria",-50.88894,-26.055843
"166","Leptasthenura setaria",-52.25268,-26.655283
"167","Leptasthenura setaria",-51.512608,-27.61649
"168","Leptasthenura setaria",-51.76702,-26.638714
"169","Leptasthenura setaria",-52.38288,-28.22747
"170","Leptasthenura setaria",-49.3646,-26.571
"171","Leptasthenura setaria",-49.414368,-25.192284
"172","Leptasthenura setaria",-45.536663,-22.583206
"173","Leptasthenura setaria",-49.894516,-25.54554
"174","Leptasthenura setaria",-52.4643,-28.887764
"175","Leptasthenura setaria",-54.019135,-27.224537
"176","Leptasthenura setaria",-52.598488,-28.310827
"177","Leptasthenura setaria",-52.371857,-27.97055
"178","Leptasthenura setaria",-52.81737,-27.913536
"179","Leptasthenura setaria",-47.92322,-25.003515
"180","Leptasthenura setaria",-53.49812,-27.61107
"181","Leptasthenura setaria",-44.868626,-22.286179
"182","Leptasthenura setaria",-49.496502,-25.8819
"183","Leptasthenura setaria",-50.14569,-29.03755
"184","Leptasthenura setaria",-52.925564,-28.332035
"185","Leptasthenura setaria",-49.178787,-27.673838
"186","Leptasthenura setaria",-44.38302,-22.779198
"187","Leptasthenura setaria",-51.71765,-28.98923
"188","Leptasthenura setaria",-51.403633,-26.996489
"189","Leptasthenura setaria",-50.814518,-25.445942
"190","Leptasthenura setaria",-51.100246,-27.012028
"191","Leptasthenura setaria",-46.556583,-21.77572
"192","Leptasthenura setaria",-50.261036,-28.502413
"193","Leptasthenura setaria",-49.06509,-25.850147
"194","Leptasthenura setaria",-53.227688,-29.08431
"195","Leptasthenura setaria",-50.24854,-29.862524
"196","Leptasthenura setaria",-49.764786,-27.868011
"197","Leptasthenura setaria",-44.75543,-22.37344
"198","Leptasthenura setaria",-52.66981,-28.609678
"199","Leptasthenura setaria",-49.824074,-25.424765
"200","Leptasthenura setaria",-52.756508,-28.447012
"201","Leptasthenura setaria",-45.423405,-22.48545
"202","Leptasthenura setaria",-52.76506,-28.311787
"203","Leptasthenura setaria",-51.338,-29.2263
"204","Leptasthenura setaria",-48.349014,-24.158833
"205","Leptasthenura setaria",-49.18586,-25.709349
"206","Leptasthenura setaria",-45.814945,-22.580713
"207","Leptasthenura setaria",-52.298508,-28.85408
"208","Leptasthenura setaria",-50.973263,-28.877893
"209","Leptasthenura setaria",-50.35624,-27.791348
"210","Leptasthenura setaria",-49.871613,-28.515089
"211","Leptasthenura setaria",-51.601036,-24.546171
"212","Leptasthenura setaria",-54.17395,-25.855864
"213","Leptasthenura setaria",-51.325336,-28.569145
"214","Leptasthenura setaria",-49.225,-27.9209
"215","Leptasthenura setaria",-49.9305,-27.952076
"216","Leptasthenura setaria",-51.166527,-23.953478
"217","Leptasthenura setaria",-51.321922,-26.047548
"218","Leptasthenura setaria",-46.98795,-23.649109
"219","Leptasthenura setaria",-52.147552,-24.70442
"220","Leptasthenura setaria",-48.86217,-27.885445
"221","Leptasthenura setaria",-45.260822,-22.57508
"222","Leptasthenura setaria",-52.28445,-29.476965
"223","Leptasthenura setaria",-50.428,-28.9006
"224","Leptasthenura setaria",-46.80718,-23.882174
"225","Leptasthenura setaria",-46.333496,-23.408062
"226","Leptasthenura setaria",-44.51775,-22.329847
"227","Leptasthenura setaria",-52.026764,-26.498768
"228","Leptasthenura setaria",-49.636665,-28.160833
"229","Leptasthenura setaria",-45.889923,-22.82748
"230","Leptasthenura setaria",-51.645054,-25.698511
"231","Leptasthenura setaria",-49.2921,-27.475
"232","Leptasthenura setaria",-54.22518,-26.42669
"233","Leptasthenura setaria",-47.15315,-23.937075
"234","Leptasthenura setaria",-49.53122,-25.042597
"235","Leptasthenura setaria",-49.690453,-26.698889
"236","Leptasthenura setaria",-49.405945,-27.897957
"237","Leptasthenura setaria",-49.997406,-29.077776
"238","Leptasthenura setaria",-50.71521,-28.206068
"239","Leptasthenura setaria",-50.978893,-27.490255
"240","Leptasthenura setaria",-50.49546,-28.433569
"241","Leptasthenura setaria",-50.833138,-27.998343
"242","Leptasthenura setaria",-54.75953,-27.072214
"243","Leptasthenura setaria",-54.55824,-26.00962
"244","Leptasthenura setaria",-51.41209,-23.528028
"245","Leptasthenura setaria",-54.570957,-25.59842
"246","Leptasthenura setaria",-50.173786,-29.480108
"247","Leptasthenura setaria",-48.059692,-24.28953
"248","Leptasthenura setaria",-44.60596,-21.979097
"249","Leptasthenura setaria",-49.452,-26.7691
"250","Leptasthenura setaria",-48.84218,-24.514906
"251","Leptasthenura setaria",-50.42862,-28.677336
"252","Leptasthenura setaria",-50.490837,-29.19662
"253","Leptasthenura setaria",-49.93735,-28.293213
"254","Leptasthenura setaria",-45.012756,-23.402903
"255","Leptasthenura setaria",-45.41529,-22.718136
"256","Leptasthenura setaria",-44.552223,-22.96843
"257","Leptasthenura setaria",-51.14516,-27.790466
"258","Leptasthenura setaria",-51.347744,-27.579273
"259","Leptasthenura setaria",-52.592983,-27.242344
"260","Leptasthenura setaria",-51.92652,-26.692354
"261","Leptasthenura setaria",-51.8189,-26.7987
"262","Leptasthenura setaria",-49.625736,-28.340044
"263","Leptasthenura setaria",-52.778,-27.1
"264","Leptasthenura setaria",-54.2645,-26.689777
"265","Leptasthenura setaria",-49.086594,-26.221891
"266","Leptasthenura setaria",-54.435833,-26.925167
"267","Leptasthenura setaria",-49.751472,-25.85913
"268","Leptasthenura setaria",-51.25729,-26.624447
"269","Leptasthenura setaria",-45.08525,-22.486725
"270","Leptasthenura setaria",-42.99358,-22.401348
"271","Leptasthenura setaria",-53.981667,-26.520667
"272","Leptasthenura setaria",-44.58546,-22.466179
"273","Leptasthenura setaria",-44.43802,-22.448647
