"","ID","longitude","latitude"
"153",758,-51.096577,-26.224516
"154",760,-46.029797,-22.876017
"155",768,-45.59196,-22.917181
"156",772,-52.082188,-26.340471
"157",779,-50.94957,-29.568584
"158",785,-54.891506,-26.839685
"159",788,-50.087643,-24.479649
"160",789,-50.174915,-29.481018
"161",790,-51.765633,-26.547638
"162",795,-45.39741,-22.63023
"163",803,-49.579803,-26.534756
"164",825,-44.760864,-22.375328
"165",827,-49.64317,-25.457598
"166",842,-49.013687,-27.716604
"167",845,-50.571766,-25.034468
"168",850,-50.26831,-25.888823
"169",851,-45.290146,-22.594315
"170",859,-50.555264,-25.053223
"171",867,-49.54776,-28.001665
"172",873,-49.089844,-25.428102
"173",875,-51.075554,-29.0425
"174",876,-51.537373,-29.2342
"175",881,-51.851185,-26.524498
"176",889,-51.088676,-29.19483
"177",892,-45.138645,-23.36312
"178",915,-49.43527,-28.044815
"179",920,-49.21404,-25.566875
"180",923,-45.714832,-22.642946
"181",926,-49.943398,-28.09934
"182",940,-51.54262,-27.026136
"183",951,-44.381374,-22.788445
"184",955,-48.01067,-24.038206
"185",974,-49.20715,-25.481241
"186",989,-51.8618,-26.157963
"187",996,-50.988914,-29.140884
"188",997,-51.23733,-29.112486
"189",999,-54.612785,-26.405144
"190",1002,-50.50478,-29.553997
"191",1007,-47.887055,-24.105207
"192",1008,-50.812305,-29.363897
"193",1016,-49.330784,-27.992367
"194",1018,-50.280952,-29.57888
"195",1020,-49.478104,-28.042599
"196",1022,-53.74101,-26.059065
"197",1024,-49.500854,-28.06352
"198",1028,-50.927074,-27.017185
"199",1050,-45.179165,-22.541662
"200",1056,-54.090076,-26.954567
"201",1061,-49.44685,-27.950357
"202",1067,-52.29488,-26.05748
"203",1073,-50.136787,-24.86316
"204",1077,-48.410725,-24.21524
"205",1096,-50.103005,-25.137753
"206",1099,-44.857323,-23.15492
"207",1100,-44.728428,-22.142672
"208",1105,-50.733116,-27.421259
"209",1122,-50.746914,-27.395897
"210",1148,-45.651512,-22.657484
"211",1155,-50.875195,-27.497814
"212",1159,-45.68604,-22.887503
"213",1163,-49.158604,-25.654753
"214",1164,-45.89335,-22.841625
"215",1168,-50.87108,-29.378424
"216",1178,-52.149517,-29.017445
"217",1181,-49.911774,-24.542648
"218",1196,-46.9523,-23.8533
"219",1198,-48.846786,-24.247593
"220",1209,-44.609627,-22.326027
"221",1224,-52.18839,-28.293867
"222",1238,-50.18102,-29.218147
"223",1243,-52.32392,-29.280106
"224",1254,-50.937798,-23.74018
"225",1257,-44.531193,-22.329971
"226",1264,-49.376247,-26.551525
"227",1274,-52.171272,-28.38431
"228",1277,-44.711094,-22.456383
"229",1292,-48.88062,-25.254845
"230",1311,-54.168785,-25.857317
"231",1330,-51.571796,-29.149738
"232",1331,-51.934807,-29.357698
"233",1341,-48.583714,-24.604586
"234",1342,-46.71906,-23.841234
"235",1368,-51.991096,-26.79975
"236",1376,-53.0045,-28.082994
"237",1437,-50.385002,-25.866535
"238",1438,-51.87489,-26.103607
"239",1444,-50.35483,-29.622953
"240",1445,-49.61512,-25.449305
"241",1446,-50.68534,-25.053677
"242",1448,-50.991646,-29.494635
"243",1454,-52.905018,-28.504433
"244",1471,-50.552708,-24.350082
"245",1480,-52.81526,-27.913567
"246",1488,-49.509254,-27.965282
"247",1490,-51.89563,-26.1069
"248",1494,-48.834633,-24.51615
"249",1500,-49.06831,-25.176397
"250",1514,-49.4043,-27.0845
"251",1516,-46.03576,-22.92207
"252",1538,-49.6739,-25.578392
"253",1547,-52.20088,-26.489967
"254",1549,-49.870525,-27.968906
"255",1554,-49.57365,-27.945257
"256",1555,-52.42051,-29.345915
"257",1565,-49.785336,-24.528185
"258",1567,-49.87014,-28.229565
"259",1575,-52.120464,-26.37905
"260",1607,-46.65146,-22.56811
"261",1627,-49.66881,-24.750954
"262",1628,-49.719658,-24.26133
"263",1633,-50.91217,-29.30918
"264",1634,-45.732437,-22.68752
"265",1637,-49.633396,-24.653044
"266",1647,-49.578323,-24.306526
"267",1649,-45.31782,-22.42934
"268",1652,-51.04961,-26.279545
"269",1666,-51.8877,-26.128529
"270",1667,-49.760864,-28.139267
"271",1681,-44.501472,-22.189941
"272",1689,-44.637356,-22.626429
"273",1708,-52.494064,-28.932919
"274",1709,-45.042717,-22.433458
"275",1719,-54.9255,-26.8546
"276",1733,-51.764473,-24.754688
"277",1746,-45.42649,-22.649939
"278",1769,-50.35894,-29.410189
"279",1788,-51.524666,-28.966455
"280",1791,-49.86852,-28.518099
"281",1811,-45.77882,-22.354553
"282",1832,-51.013065,-26.780613
"283",1840,-52.780132,-28.296795
"284",1861,-45.799965,-22.696823
"285",1889,-50.537872,-28.007355
"286",1895,-49.723568,-25.75573
"287",1902,-50.974854,-29.59381
"288",1907,-48.992367,-26.02303
"289",1959,-50.389946,-29.657513
"290",1960,-50.59714,-28.68895
"291",1969,-50.366165,-29.084745
"292",1978,-50.02166,-24.462927
"293",2031,-51.741592,-26.579546
"294",2049,-51.167873,-23.895836
"295",2064,-50.366154,-29.05479
"296",2067,-50.16527,-28.25083
"297",2074,-45.942142,-22.906794
"298",2077,-45.17183,-22.332663
"299",2079,-50.697536,-28.465336
"300",2092,-50.640827,-28.18296
"301",2115,-46.95977,-23.695135
"302",2126,-49.6146,-28.034107
"303",2127,-49.57239,-24.455084
"304",2134,-43.065884,-22.48801
"305",2137,-52.26441,-27.634418
"306",2167,-51.169632,-28.232058
"307",2171,-52.27481,-27.624226
"308",2204,-53.128277,-26.490799
"309",2209,-49.392326,-25.549016
"310",2213,-44.679085,-22.111253
"311",2221,-48.27367,-24.308775
"312",2233,-51.27458,-28.556381
"313",2242,-45.28745,-22.42043
"314",2244,-53.888733,-26.730669
"315",2260,-50.948097,-29.585892
"316",2312,-54.486324,-25.61165
"317",2315,-55.312122,-27.101294
"318",2320,-48.982944,-25.496578
"319",2324,-49.614147,-24.967604
"320",2329,-50.90627,-23.750467
"321",2338,-49.71393,-25.49936
"322",2345,-49.68275,-24.833866
"323",2352,-54.427998,-25.721087
"324",2369,-52.410183,-26.573074
"325",2371,-49.6788,-27.1459
"326",2381,-50.616722,-29.465115
"327",2390,-50.96731,-25.58015
"328",2391,-54.582027,-25.98307
"329",2434,-50.84368,-29.26912
"330",2446,-52.540314,-28.066658
"331",2465,-50.265625,-24.5707
"332",2505,-48.005207,-24.042307
"333",2509,-51.385323,-28.699827
"334",2523,-52.986256,-28.371372
"335",2564,-45.154667,-23.406754
"336",2569,-52.926044,-28.729033
"337",2570,-44.399506,-22.283484
"338",2615,-52.018353,-26.873066
"339",2639,-46.31378,-22.884146
"340",2642,-44.511044,-22.338594
"341",2658,-47.01229,-24.36598
"342",2659,-44.367825,-22.806578
"343",2674,-49.362865,-25.643032
"344",2708,-53.824754,-26.424396
